id_evento,ot_utc,magnitud,tipo_magnitud,fases,rms,azgap,latitud,longitud,profundidad_km,agencia,autor,region
csn_sc62026nnmyu,2026-07-12 08:22:41,3.3,MLv,29,0.38,186,-28.6939,-69.5922,99.9,CSN,Caro,Chile-Argentina Border Region
csn_sc62026nnnji,2026-07-12 08:29:24,2.9,M,18,0.45,245,-21.0375,-67.8050,189.7,CSN,Caro,Chile-Bolivia Border Region
csn_sc62026nnnui,2026-07-12 08:42:22,3.5,MLv,20,0.52,138,-24.0313,-67.1407,207.4,CSN,Caro,Chile-Argentina Border Region
csn_sc62026nnoae,2026-07-12 08:49:15,1.4,M,21,0.27,173,-33.4793,-70.0383,3.5,CSN,Caro,Chile-Argentina Border Region
csn_sc62026nnoeq,2026-07-12 08:54:26,3.2,M,10,0.66,177,-25.8200,-69.2698,83.7,CSN,scautoloc2@prod-pub-seiscomp6,Northern Chile
csn_sc62026nnoqh,2026-07-12 09:08:00,2.5,MLv,15,0.40,122,-22.6304,-68.6368,95.0,CSN,Caro,Northern Chile
csn_sc62026nnosu,2026-07-12 09:10:55,1.8,M,26,0.23,50,-33.8002,-70.8594,77.0,CSN,Caro,Chile-Argentina Border Region
csn_sc62026nnpfh,2026-07-12 09:25:28,2.4,MLv,39,0.28,69,-33.4177,-70.3394,91.5,CSN,Caro,Chile-Argentina Border Region
csn_sc62026nnphs,2026-07-12 09:28:20,,,5,0.76,332,-29.8864,-87.4250,91.5,CSN,scautoloc2@prod-pub-seiscomp6,Southeast Central Pacific Ocean
csn_sc62026nnpve,2026-07-12 09:43:59,2.3,M,12,0.23,150,-27.3861,-69.7810,99.9,CSN,Caro,Northern Chile
csn_sc62026nnqfm,2026-07-12 09:56:01,,,6,0.87,300,-31.4252,-62.4873,10.0,CSN,scautoloc2@prod-pub-seiscomp6,"Cordoba Province, Argentina"
csn_sc62026nnqhz,2026-07-12 09:58:40,2.7,M,10,0.82,197,-21.0835,-68.9689,160.2,CSN,Caro,Chile-Bolivia Border Region
csn_sc62026nnqnd,2026-07-12 10:10:00,3.0,MLv,18,0.31,207,-28.0352,-71.5028,37.6,CSN,Caro,Near Coast of Central Chile
csn_sc62026nnqvz,2026-07-12 10:15:14,2.3,M,19,1.04,236,-32.6130,-72.0395,25.5,CSN,Caro,Off Coast of Central Chile
csn_sc62026nnqxp,2026-07-12 10:17:09,3.2,M,16,0.31,190,-25.3893,-69.0963,111.6,CSN,Caro,Northern Chile
csn_sc62026nnrwj,2026-07-12 10:46:00,2.8,M,5,0.44,327,-21.5539,-68.0286,268.0,CSN,scautoloc2@prod-pub-seiscomp6,Chile-Bolivia Border Region
csn_sc62026nnrzx,2026-07-12 10:49:19,,,13,0.89,333,-36.4776,-48.4800,10.0,CSN,scautoloc2@prod-pub-seiscomp6,South Atlantic Ocean
csn_sc62026nnsan,2026-07-12 10:50:51,,,6,1.60,296,-25.2094,-82.6654,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Southeast Central Pacific Ocean
csn_sc62026nnsep,2026-07-12 10:55:35,3.4,MLv,20,0.19,206,-28.3398,-69.1463,103.3,CSN,Caro,Chile-Argentina Border Region
