time,latitude,longitude,depth [km],magnitude,magnitude_type,region_name,felt
2026-06-02T14:11:03Z,-31.81, -71.84,  15.6, 2.6,MLv,32.93 km al O de Los Vilos,f
2026-06-01T17:21:51Z,-21.62, -68.52, 132.1, 2.6,MLv,52.1 km al SO de Ollagüe,f
2026-06-02T14:31:24Z,-28.56, -71.37,  54.8, 3.0,MLv,18.34 km al SO de Huasco,f
2026-06-01T01:43:44Z,-32.80, -71.79,  26.8, 3.2,MLv,24.92 km al O de Quintero,f
2026-06-02T01:31:44Z,-18.88, -69.90,  91.6, 2.5,MLv,42.48 km al NE de Cuya,f
2026-06-01T01:48:52Z,-30.30, -70.74,  81.7, 3.3,MLv,30.0 km al S de Vicuña,f
2026-06-02T14:45:07Z,-21.62, -68.59, 132.2, 2.7,MLv,55.85 km al SO de Ollagüe,f
2026-06-02T16:56:43Z,-21.09, -68.63, 129.1, 2.5,MLv,28.87 km al S de Mina Collahuasi,f
2026-06-01T03:50:23Z,-21.29, -68.03, 195.1, 2.9,MLv,24.8 km al E de Ollagüe,f
2026-06-02T02:17:34Z,-22.42, -68.85, 110.7, 3.5,MLv,10.49 km al NE de Calama,f
2026-06-01T05:11:13Z,-32.91, -70.15, 109.6, 2.5,MLv,42.17 km al E de Los Andes,f
2026-06-02T17:15:27Z,-24.04, -67.44, 218.3, 2.8,MLv,67.58 km al SE de Socaire,f
2026-06-02T08:31:58Z,-21.07, -68.73, 113.1, 2.6,MLv,28.42 km al S de Mina Collahuasi,f
2026-06-02T18:48:14Z,-25.65, -69.88,  66.5, 2.5,MLv,66.49 km al E de Taltal,f
2026-06-02T19:16:56Z,-21.78, -68.88, 108.2, 3.0,MLv,69.25 km al E de Quillagua,f
2026-06-02T19:17:42Z,-27.96, -71.90,  48.5, 3.3,MLv,74.41 km al O de Carrizal Bajo,f
2026-06-01T05:43:31Z,-32.76, -71.80,  24.9, 2.5,MLv,25.65 km al O de Quintero,f
2026-06-01T09:02:50Z,-18.58, -71.11,  20.0, 2.7,MLv,83.57 km al O de Arica,f
2026-06-02T08:54:56Z,-30.59, -71.84,  44.0, 2.9,MLv,17.53 km al NO de Parque Fray Jorge,f
2026-06-01T10:12:35Z,-35.52, -71.42,  32.9, 2.7,MLv,24.79 km al E de Talca,f
2026-06-02T20:16:07Z,-22.20, -68.67, 108.6, 3.3,MLv,39.74 km al NE de Calama,f
2026-06-02T09:23:35Z,-21.86, -68.65, 127.9, 2.8,MLv,73.35 km al NE de Calama,f
2026-06-03T01:00:26Z,-17.32, -69.88, 153.7, 2.6,MLv,52.61 km al NO de Visviri,f
2026-06-01T10:58:20Z,-19.93, -69.22,  69.5, 2.8,MLv,63.73 km al N de Pica,f
2026-06-02T09:53:50Z,-32.04, -71.91,  47.5, 4.6,Mw,37.16 km al O de Pichidangui,f
2026-06-01T12:22:24Z,-33.02, -71.60,   1.7, 2.5,MLv,2.98 km al NE de Valparaíso,f
2026-06-01T12:47:54Z,-21.92, -67.79, 206.4, 2.9,MLv,90.63 km al SE de Ollagüe,f
2026-06-03T02:12:00Z,-30.67, -71.67,  30.4, 3.0,MLv,1.9 km al SE de Parque Fray Jorge,f
2026-06-03T02:38:53Z,-21.76, -68.57, 129.6, 2.6,MLv,68.28 km al SO de Ollagüe,f
2026-06-02T10:12:24Z,-29.80, -71.59,  31.8, 2.5,MLv,34.92 km al O de La Serena,f
2026-06-03T03:05:18Z,-20.99, -69.74,  53.1, 2.8,MLv,52.34 km al E de Patache,f
2026-06-01T14:05:30Z,-24.01, -67.44, 222.6, 3.2,MLv,65.66 km al SE de Socaire,f
2026-06-02T17:54:24Z,-20.48, -68.85, 109.6, 2.6,MLv,43.81 km al NO de Mina Collahuasi,f
2026-06-01T14:31:42Z,-32.70, -71.78,  28.0, 2.7,MLv,25.6 km al O de Quintero,f
2026-06-01T16:25:34Z,-22.61, -68.60, 120.0, 2.6,MLv,37.41 km al SE de Calama,f
2026-06-03T04:33:16Z,-32.73, -71.73,  17.6, 2.9,MLv,20.06 km al O de Quintero,f
2026-06-03T05:02:31Z,-21.11, -68.63, 140.2, 2.9,MLv,31.59 km al S de Mina Collahuasi,f
2026-06-02T19:01:32Z,-32.74, -71.73,  29.3, 3.2,MLv,19.21 km al O de Quintero,f
2026-06-03T05:15:54Z,-28.42, -70.70,  56.1, 2.5,MLv,17.79 km al NE de Vallenar,f
2026-06-03T05:37:00Z,-22.37, -68.76, 109.6, 3.5,MLv,20.64 km al NE de Calama,f
2026-06-03T05:43:08Z,-28.48, -69.65, 108.1, 2.6,MLv,86.81 km al E de Alto del Carmen,f
2026-06-03T07:50:32Z,-20.93, -68.96, 101.0, 3.1,MLv,33.3 km al O de Mina Collahuasi,f
2026-06-03T07:59:46Z,-21.75, -68.68, 121.3, 2.7,MLv,73.31 km al SO de Ollagüe,f
2026-06-03T09:20:22Z,-19.35, -70.38,  20.5, 2.6,MLv,29.79 km al SO de Cuya,f
2026-06-03T09:32:44Z,-32.79, -71.76,  28.9, 3.3,MLv,21.65 km al O de Quintero,f
2026-06-03T12:40:03Z,-32.70, -71.72,  20.0, 3.0,MLv,20.42 km al O de Quintero,f
2026-06-03T14:10:32Z,-21.57, -68.46, 145.6, 4.2,MLv,43.66 km al SO de Ollagüe,f
2026-06-03T17:22:12Z,-20.91, -68.91, 101.9, 2.8,MLv,28.32 km al O de Mina Collahuasi,f
2026-06-03T17:27:40Z,-32.80, -71.74,  25.8, 2.5,MLv,19.87 km al O de Quintero,f
2026-06-03T19:26:51Z,-30.18, -71.40,  47.0, 2.8,MLv,12.38 km al NE de Tongoy,f
2026-06-03T19:55:43Z,-33.88, -72.05,  21.0, 2.6,MLv,22.1 km al O de Navidad,f
2026-06-03T21:07:09Z,-22.10, -68.67, 125.0, 3.2,MLv,48.75 km al NE de Calama,f
2026-06-03T21:43:10Z,-33.88, -72.11,  19.5, 3.3,MLv,26.63 km al O de Navidad,f
